@relation autos-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute symboling {-3,-2,-1,0,1,2,3}

@data
0.434555,dodge,gas,turbo,?,sedan,fwd,front,0.206997,0.241791,0.291667,0.233333,0.272692,ohc,four,0.139623,mpfi,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.085398,1
0.235602,dodge,gas,std,four,wagon,fwd,front,0.48688,0.5,0.358333,1,0.406129,ohc,four,0.230189,2bbl,0.571429,0.661905,0.09375,0.166667,0.346939,0.305556,0.368421,0.094409,-1
0.418848,dodge,gas,turbo,two,hatchback,fwd,front,0.271137,0.479104,0.5,0.2,0.513189,ohc,four,0.358491,mfi,0.757143,0.871429,0,0.404167,0.346939,0.166667,0.210526,0.194777,3
0.376963,honda,gas,std,two,hatchback,fwd,front,0,0.052239,0.3,0.25,0.087277,ohc,four,0.116981,1bbl,0.264286,0.638095,0.1625,0.041667,0.265306,1,1,0.033787,2
0.376963,honda,gas,std,two,hatchback,fwd,front,0,0.052239,0.3,0.25,0.128394,ohc,four,0.116981,1bbl,0.264286,0.638095,0.1375,0.116667,0.755102,0.5,0.578947,0.043121,2
0.188482,honda,gas,std,two,hatchback,fwd,front,0.206997,0.132836,0.308333,0.4,0.135376,ohc,four,0.067925,1bbl,0.264286,0.47619,0.19375,0.05,0.55102,0.694444,0.684211,0.006976,1
0.188482,honda,gas,std,two,hatchback,fwd,front,0.206997,0.132836,0.308333,0.4,0.17533,ohc,four,0.116981,1bbl,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.035028,1
0.188482,honda,gas,std,two,hatchback,fwd,front,0.206997,0.132836,0.308333,0.4,0.181536,ohc,four,0.116981,1bbl,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.049923,1
0.235602,honda,gas,std,four,sedan,fwd,front,0.28863,0.332836,0.308333,0.558333,0.202483,ohc,four,0.116981,1bbl,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.054044,0
0.068063,honda,gas,std,four,wagon,fwd,front,0.28863,0.238806,0.3,0.875,0.207913,ohc,four,0.116981,1bbl,0.271429,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.054044,0
0.21466,honda,gas,std,two,hatchback,fwd,front,0.28863,0.39403,0.408333,0.458333,0.290147,ohc,four,0.184906,1bbl,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.068939,0
0.21466,honda,gas,std,two,hatchback,fwd,front,0.28863,0.39403,0.408333,0.458333,0.310706,ohc,four,0.184906,1bbl,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.098729,0
0.104712,honda,gas,std,four,sedan,fwd,front,0.28863,0.51194,0.408333,0.525,0.316524,ohc,four,0.184906,1bbl,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.092523,0
0.104712,honda,gas,std,four,sedan,fwd,front,0.28863,0.51194,0.183333,0.525,0.342901,ohc,four,0.184906,1bbl,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.128519,0
0.104712,honda,gas,std,four,sedan,fwd,front,0.28863,0.51194,0.408333,0.525,0.378976,ohc,four,0.184906,mpfi,0.435714,0.719048,0.125,0.220833,0.673469,0.305556,0.315789,0.194305,0
0.219895,honda,gas,std,two,sedan,fwd,front,0.28863,0.41791,0.475,0.266667,0.312258,ohc,four,0.184906,2bbl,0.435714,0.719048,0.13125,0.216667,0.55102,0.333333,0.394737,0.12976,1
?,isuzu,gas,std,four,sedan,rwd,front,0.22449,0.441791,0.125,0.475,0.329325,ohc,four,0.188679,2bbl,0.55,0.552381,0.09375,0.125,0.265306,0.305556,0.342105,0.041383,0
?,isuzu,gas,std,two,sedan,fwd,front,0.230321,0.220896,0.275,0.35,0.149728,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?,1
?,isuzu,gas,std,four,sedan,fwd,front,0.230321,0.220896,0.275,0.35,0.163305,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?,0
?,isuzu,gas,std,two,hatchback,rwd,front,0.274052,0.470149,0.408333,0.3,0.48332,ohc,four,0.218868,spfi,0.635714,0.552381,0.1375,0.175,0.346939,0.305556,0.342105,0.147212,2
0.418848,jaguar,gas,std,four,sedan,rwd,front,0.769679,0.873134,0.775,0.416667,1,dohc,six,0.743396,mpfi,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,0.673551,0
?,jaguar,gas,std,four,sedan,rwd,front,0.769679,0.873134,0.775,0.416667,1,dohc,six,0.743396,mpfi,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,0.755474,0
?,jaguar,gas,std,two,sedan,rwd,front,0.44898,0.755224,0.858333,0,0.955004,ohcv,twelve,1,mpfi,0.714286,0.328571,0.28125,0.891667,0.346939,0,0.026316,0.766645,0
0.204188,mazda,gas,std,two,hatchback,fwd,front,0.189504,0.268657,0.325,0.525,0.155935,ohc,four,0.113208,2bbl,0.35,0.514286,0.125,0.083333,0.346939,0.472222,0.394737,0.001912,1
0.204188,mazda,gas,std,two,hatchback,fwd,front,0.189504,0.268657,0.325,0.525,0.159814,ohc,four,0.113208,2bbl,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.024254,1
0.204188,mazda,gas,std,two,hatchback,fwd,front,0.189504,0.268657,0.325,0.525,0.161753,ohc,four,0.113208,2bbl,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.041631,1
0.251309,mazda,gas,std,four,sedan,fwd,front,0.189504,0.383582,0.325,0.525,0.177269,ohc,four,0.113208,2bbl,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.039149,1
0.251309,mazda,gas,std,four,sedan,fwd,front,0.189504,0.383582,0.325,0.525,0.179209,ohc,four,0.113208,2bbl,0.385714,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.056526,1
0.445026,mazda,gas,std,two,hatchback,rwd,front,0.253644,0.416418,0.45,0.15,0.346005,rotor,two,0.033962,4bbl,?,?,0.15,0.220833,0.755102,0.111111,0.184211,0.144655,3
0.445026,mazda,gas,std,two,hatchback,rwd,front,0.253644,0.416418,0.45,0.15,0.346005,rotor,two,0.033962,4bbl,?,?,0.15,0.220833,0.755102,0.111111,0.184211,0.166998,3
0.445026,mazda,gas,std,two,hatchback,rwd,front,0.253644,0.416418,0.45,0.15,0.347944,rotor,two,0.033962,4bbl,?,?,0.15,0.220833,0.755102,0.111111,0.184211,0.211683,3
0.445026,mazda,gas,std,two,hatchback,rwd,front,0.253644,0.416418,0.45,0.15,0.392552,rotor,two,0.071698,mpfi,?,?,0.15,0.3625,0.755102,0.083333,0.184211,0.261333,3
0.335079,mazda,gas,std,two,hatchback,fwd,front,0.355685,0.547761,0.516667,0.491667,0.347944,ohc,four,0.230189,2bbl,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.092523,1
0.26178,mazda,gas,std,four,sedan,fwd,front,0.355685,0.547761,0.516667,0.641667,0.357642,ohc,four,0.230189,2bbl,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.083834,0
0.335079,mazda,gas,std,two,hatchback,fwd,front,0.355685,0.547761,0.516667,0.491667,0.347944,ohc,four,0.230189,2bbl,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.135966,1
0.26178,mazda,gas,std,four,sedan,fwd,front,0.355685,0.547761,0.516667,0.641667,0.357642,ohc,four,0.230189,2bbl,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.127278,0
?,mazda,diesel,std,?,sedan,fwd,front,0.355685,0.547761,0.516667,0.641667,0.370442,ohc,four,0.230189,idi,0.607143,0.628571,0.98125,0.066667,0.204082,0.638889,0.684211,0.140931,0
0.26178,mazda,gas,std,four,hatchback,fwd,front,0.355685,0.547761,0.516667,0.641667,0.36346,ohc,four,0.230189,2bbl,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.152103,0
0.277487,mazda,gas,std,four,sedan,rwd,front,0.533528,0.50597,0.483333,0.55,0.458495,ohc,four,0.298113,mpfi,0.871429,0.519048,0.0625,0.3,0.346939,0.166667,0.289474,0.326746,0
?,mazda,diesel,std,four,sedan,rwd,front,0.533528,0.50597,0.483333,0.55,0.470132,ohc,four,0.275472,idi,0.635714,0.747619,0.9375,0.1,0.020408,0.5,0.605263,0.328335,0
0.146597,mercedes-benz,diesel,turbo,four,sedan,rwd,front,0.682216,0.743284,0.833333,0.725,0.786268,ohc,five,0.460377,idi,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,0.507274,-1
0.146597,mercedes-benz,diesel,turbo,four,wagon,rwd,front,0.682216,0.743284,0.833333,0.908333,0.877424,ohc,five,0.460377,idi,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,0.574202,-1
0.146597,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,0.586006,0.692537,0.833333,0.591667,0.77851,ohc,five,0.460377,idi,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,0.572414,0
0.146597,mercedes-benz,diesel,turbo,four,sedan,rwd,front,0.845481,0.91791,0.95,0.708333,0.885182,ohc,five,0.460377,idi,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,0.657415,-1
?,mercedes-benz,gas,std,four,sedan,rwd,front,0.845481,0.91791,0.95,0.725,0.873545,ohcv,eight,0.65283,mpfi,0.657143,0.490476,0.08125,0.445833,0.244898,0.083333,0.052632,0.721563,-1
0.403141,mercedes-benz,gas,std,two,convertible,rwd,front,0.291545,0.585075,0.85,0.25,0.852211,ohcv,eight,0.65283,mpfi,0.657143,0.490476,0.08125,0.445833,0.244898,0.083333,0.052632,0.74321,3
?,mercedes-benz,gas,std,four,sedan,rwd,front,1,1,0.95,0.741667,0.935609,ohcv,eight,0.932075,mpfi,0.9,0.609524,0.0625,0.566667,0.142857,0.027778,0,0.889777,0
?,mercedes-benz,gas,std,two,hardtop,rwd,front,0.740525,0.867164,0.975,0.633333,0.863848,ohcv,eight,0.916981,mpfi,0.9,0.609524,0.0625,0.566667,0.142857,0.027778,0,1,1
?,mercury,gas,turbo,two,hatchback,rwd,front,0.469388,0.556716,0.641667,0.583333,0.55159,ohc,four,0.298113,mpfi,0.885714,0.5,0.0625,0.529167,0.346939,0.166667,0.210526,0.282632,1
0.502618,mitsubishi,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.341667,0.25,0.166796,ohc,four,0.116981,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.666667,0.657895,0.006728,2
0.502618,mitsubishi,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.341667,0.25,0.176881,ohc,four,0.116981,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.026588,2
0.502618,mitsubishi,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.341667,0.25,0.200155,ohc,four,0.116981,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.038504,2
0.502618,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.186589,0.241791,0.291667,0.25,0.254849,ohc,four,0.139623,spdi,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.063825,1
0.460733,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.282799,0.476119,0.425,0.133333,0.342126,ohc,four,0.184906,spdi,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,0.120178,3
0.460733,mitsubishi,gas,std,two,hatchback,fwd,front,0.282799,0.476119,0.425,0.133333,0.325834,ohc,four,0.230189,2bbl,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,0.083933,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.271137,0.479104,0.5,0.2,0.521722,ohc,four,0.358491,spdi,0.742857,0.852381,0,0.404167,0.346939,0.166667,0.210526,0.18646,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.271137,0.479104,0.5,0.2,0.555857,ohc,four,0.358491,spdi,0.75,0.852381,0,0.404167,0.346939,0.166667,0.210526,0.242068,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,0.271137,0.479104,0.5,0.2,0.557797,ohc,four,0.358491,spdi,0.75,0.852381,0,0.404167,0.346939,0.166667,0.210526,0.232635,3
0.314136,mitsubishi,gas,std,four,sedan,fwd,front,0.282799,0.467164,0.425,0.316667,0.340186,ohc,four,0.230189,2bbl,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,0.046448,1
0.314136,mitsubishi,gas,std,four,sedan,fwd,front,0.282799,0.467164,0.425,0.316667,0.355702,ohc,four,0.230189,2bbl,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,0.076238,1
0.314136,mitsubishi,gas,turbo,four,sedan,fwd,front,0.282799,0.467164,0.425,0.316667,0.354926,ohc,four,0.184906,spdi,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,0.103297,1
0.376963,mitsubishi,gas,std,four,sedan,fwd,front,0.282799,0.467164,0.425,0.316667,0.354926,ohc,four,0.184906,spdi,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,0.103297,-1
0.329843,nissan,gas,std,two,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.155547,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.009458,1
0.329843,nissan,diesel,std,two,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.205198,ohc,four,0.158491,idi,0.321429,0.666667,0.93125,0.029167,0.265306,0.888889,0.894737,0.049178,1
0.329843,nissan,gas,std,two,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.166796,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.038007,1
0.298429,nissan,gas,std,four,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.174554,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.042972,1
0.198953,nissan,gas,std,four,wagon,fwd,front,0.230321,0.434328,0.291667,0.475,0.207913,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.055385,1
0.329843,nissan,gas,std,two,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.179597,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.054143,1
0.329843,nissan,gas,std,two,hatchback,fwd,front,0.230321,0.365672,0.291667,0.458333,0.209465,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.066556,1
0.298429,nissan,gas,std,four,sedan,fwd,front,0.230321,0.361194,0.291667,0.558333,0.187355,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.059108,1
0.198953,nissan,gas,std,four,wagon,fwd,front,0.230321,0.434328,0.291667,0.475,0.212956,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.071521,1
0.539267,nissan,gas,std,two,hardtop,fwd,front,0.247813,0.31791,0.291667,0.458333,0.201707,ohc,four,0.135849,2bbl,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,0.077727,2
0.21466,nissan,gas,std,four,hatchback,fwd,front,0.309038,0.48209,0.408333,0.575,0.324282,ohc,four,0.222642,2bbl,0.564286,0.666667,0.09375,0.204167,0.428571,0.388889,0.473684,0.095105,0
0.21466,nissan,gas,std,four,sedan,fwd,front,0.309038,0.48209,0.408333,0.575,0.315749,ohc,four,0.222642,2bbl,0.564286,0.666667,0.09375,0.204167,0.428571,0.388889,0.473684,0.11,0
0.329843,nissan,gas,std,four,sedan,fwd,front,0.402332,0.60597,0.516667,0.608333,0.623351,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.125,0.433333,0.428571,0.111111,0.157895,0.208058,0
0.225131,nissan,gas,std,four,wagon,fwd,front,0.402332,0.649254,0.516667,0.691667,0.701319,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.125,0.433333,0.428571,0.111111,0.157895,0.230401,0
0.225131,nissan,gas,std,four,sedan,fwd,front,0.402332,0.649254,0.516667,0.608333,0.609775,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.125,0.433333,0.428571,0.166667,0.236842,0.208058,0
0.675393,nissan,gas,std,two,hatchback,rwd,front,0.137026,0.441791,0.633333,0.158333,0.614042,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.125,0.466667,0.428571,0.166667,0.236842,0.299911,3
0.675393,nissan,gas,turbo,two,hatchback,rwd,front,0.137026,0.441791,0.633333,0.158333,0.640419,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.05,0.633333,0.428571,0.111111,0.184211,0.361973,3
0.86911,nissan,gas,std,two,hatchback,rwd,front,0.367347,0.558209,0.633333,0.158333,0.640419,ohcv,six,0.45283,mpfi,0.635714,0.571429,0.125,0.466667,0.428571,0.166667,0.236842,0.329701,1
0.502618,peugot,gas,std,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.594259,l,four,0.222642,mpfi,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,0.168363,0
0.502618,peugot,diesel,turbo,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.662917,l,four,0.343396,idi,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,0.200636,0
?,peugot,gas,std,four,wagon,rwd,front,0.804665,0.862687,0.675,0.908333,0.675718,l,four,0.222642,mpfi,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,0.181769,0
?,peugot,diesel,turbo,four,wagon,rwd,front,0.804665,0.862687,0.675,0.908333,0.753297,l,four,0.343396,idi,0.828571,0.690476,0.875,0.195833,0,0.333333,0.236842,0.21702,0
0.502618,peugot,gas,std,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.615593,l,four,0.222642,mpfi,0.657143,0.057143,0.0875,0.195833,0.346939,0.166667,0.210526,0.259719,0
0.502618,peugot,diesel,turbo,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.684251,l,four,0.343396,idi,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,0.292488,0
?,peugot,gas,std,four,wagon,rwd,front,0.804665,0.862687,0.675,0.741667,0.697052,l,four,0.222642,mpfi,0.657143,0.057143,0.0875,0.195833,0.346939,0.166667,0.210526,0.287399,0
?,peugot,diesel,turbo,four,wagon,rwd,front,0.804665,0.862687,0.675,0.908333,0.774631,l,four,0.343396,idi,0.828571,0.690476,0.875,0.195833,0,0.333333,0.236842,0.296832,0
0.502618,peugot,gas,std,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.615593,l,four,0.222642,mpfi,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,0.285785,0
0.502618,peugot,diesel,turbo,four,sedan,rwd,front,0.620991,0.680597,0.675,0.741667,0.684251,l,four,0.343396,idi,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,0.318554,0
0.502618,peugot,gas,turbo,four,sedan,rwd,front,0.623907,0.680597,0.666667,0.683333,0.636928,l,four,0.275472,mpfi,0.764286,0.542857,0,0.391667,0.591837,0.138889,0.210526,0.323519,0
0.282723,plymouth,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.166796,ohc,four,0.109434,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.666667,0.657895,0.011271,1
0.282723,plymouth,gas,turbo,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.248254,ohc,four,0.139623,spdi,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.070478,1
